# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 40062

[ECHELLE 01]
  t             = 0.880130
  n_valid       = 39314/40062
  mean(angle°)  = 19.2408
  std(angle°)   = 26.2157
  valeurs (degrés) :
    p001085    2.9203°
    p001086    2.1948°
    p001087    3.0887°
    p001088    1.5981°
    p001089    0.1521°
    p001090    0.6862°
    p001091    0.6827°
    p001092    1.0073°
    p001093    1.0636°
    p001094    1.2660°
    p001095    1.8329°
    p001096    1.9421°
    p001097    1.3336°
    p001098    1.0882°
    p001099    2.6563°
    p001100    3.2251°
    p001101    6.5246°
    p001102    4.7530°
    p001103    2.9864°
    p001104    3.4912°
    p001105    3.0303°
    p001106    1.6403°
    p001107    0.5937°
    p001108    1.3554°
    p001109    1.4442°
    p001110    0.4496°
    p001111    0.3413°
    p001112    0.2795°
    p001113    0.6836°
    p001114    1.2363°
    p001115    0.5023°
    p001116    1.1352°
    p001117    0.3750°
    p001118    0.5915°
    p001119    3.2072°
    p001120    2.6793°
    p001121    4.5167°
    p001122    4.4122°
    p001123    5.0795°
    p001124    2.7776°
    p001125    2.2016°
    p001126    0.7095°
    p001127    5.7632°
    p001128    0.2119°
    p001129    0.2884°
    p001130    0.3317°
    p001131    0.9361°
    p001132    0.7425°
    p001133    1.5604°
    p001134    1.3459°
    p001135    1.4279°
    p001136    1.2010°
    p001137    0.4596°
    p001138    0.2378°
    p001139    3.7458°
    p001140    3.6587°
    p001141    5.3873°
    p001142    2.6282°
    p001143    4.5997°
    p001144    3.4908°
    p001145    3.1772°
    p001146    1.0920°
    p001147    2.8009°
    p001148    0.2446°
    p001149    1.1075°
    p001150    0.8837°
    p001151    0.7782°
    p001152    0.7617°
    p001153    1.3328°
    p001154    1.2002°
    p001155    1.1821°
    p001156    0.8934°
    p001157    0.6557°
    p001158    0.5288°
    p001159    9.6733°
    p001160    9.9553°
    p001161   24.4502°
    p001162   25.6816°
    p001163   21.4346°
    p001164    6.0806°
    p001165    3.3779°
    p001166    1.3885°
    p001167   12.4751°
    p001168    0.9252°
    p001169    1.3980°
    p001170    1.4118°
    p001171    2.3783°
    p001172    1.5811°
    p001173    1.4175°
    p001174    1.5578°
    p001175    2.4213°
    p001176    1.7872°
    p001177    1.0053°
    p001178    0.9648°
    p001179   26.2492°
    p001180   16.7960°
    p001181   34.1261°
    p001182   35.5507°
    p001183   27.3545°
    p001184   10.1070°
    p001185    9.2479°
    p001186    1.4642°
    p001187   27.8455°
    p001188    0.9597°
    p001189    1.2955°
    p001190    0.6953°
    p001191    0.7471°
    p001192    2.0933°
    p001193    0.9027°
    p001194    0.9964°
    p001195    2.2309°
    p001196    0.8166°
    p001197    1.0809°
