# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 12
n_points  = 17378

[ECHELLE 01]
  t             = 0.251312
  n_valid       = 16890/17378
  mean(angle°)  = 20.6075
  std(angle°)   = 13.2625
  valeurs (degrés) :
    p001033    7.1621°
    p001034    9.8303°
    p001035    7.1788°
    p001036    9.8340°
    p001037    9.3796°
    p001038   10.4785°
    p001039    0.4648°
    p001040   18.7814°
    p001041    0.3322°
    p001042   18.8258°
    p001043   27.4541°
    p001044   29.3551°
    p001045    5.1883°
    p001046    0.0580°
    p001047    5.3393°
    p001048    0.0972°
    p001049    0.2011°
    p001050    0.2170°
    p001051   19.8176°
    p001052    0.3767°
    p001053    0.1778°
    p001054   21.9377°
    p001055   20.7004°
    p001056   23.1175°
    p001057    7.1822°
    p001058    9.8338°
    p001059    7.1871°
    p001060    9.8285°
    p001061    9.3623°
    p001062   10.4863°
    p001063    0.4633°
    p001064   18.8679°
    p001065    0.3288°
    p001066   18.9233°
    p001067   27.4727°
    p001068   29.3816°
    p001069    5.2049°
    p001070    0.0748°
    p001071    5.3527°
    p001072    0.1131°
    p001073    0.1733°
    p001074    0.1867°
    p001075   20.0607°
    p001076    3.3955°
    p001077    3.7415°
    p001078   25.8131°
    p001079   26.9719°
    p001080   19.4782°
    p001081    7.1964°
    p001082    9.8331°
    p001083    7.2056°
    p001084    9.8300°
    p001085    9.3719°
    p001086   10.4732°
    p001087    0.4687°
    p001088   18.9350°
    p001089    0.3505°
    p001090   18.9750°
    p001091   27.4758°
    p001092   29.3922°
    p001093    5.2139°
    p001094    0.0890°
    p001095    5.3736°
    p001096    0.1271°
    p001097    0.1492°
    p001098    0.1608°
    p001099   19.8055°
    p001100    0.4229°
    p001101    0.1215°
    p001102   22.0396°
    p001103   20.6752°
    p001104   23.0806°
    p001105    7.2029°
    p001106    9.8319°
    p001107    7.2104°
    p001108    9.8315°
    p001109    9.3454°
    p001110   10.4705°
    p001111    0.4895°
    p001112   19.0182°
    p001113    0.3598°
    p001114   19.0317°
    p001115   27.5026°
    p001116   29.4060°
    p001117    5.2293°
    p001118    0.1016°
    p001119    5.3931°
    p001120    0.1375°
    p001121    0.1285°
    p001122    0.1385°
    p001123   20.1323°
    p001124    3.3718°
    p001125    3.8329°
    p001126   25.6755°
    p001127   26.9868°
    p001128   19.4958°
    p001129    7.2104°
    p001130    9.8313°
    p001131    7.2229°
    p001132    9.8316°
    p001133    9.3505°
    p001134   10.4569°
    p001135    0.4872°
    p001136   19.0777°
    p001137    0.3536°
    p001138   19.1081°
    p001139   27.4985°
    p001140   29.4230°
    p001141    5.2506°
    p001142    0.1119°
    p001143    5.3898°
